seed_id,route_pair,paper_id,old_cell_status,old_max_matched_slots,semantic_cell_status,semantic_max_matched_slots,block_transition,paper_transition,reason
SEED_ICLR2026_0021c2cb1b9b6a71ac478ea52a93b25a,R1,ICLR2025_674e87c5476f67bb60977968a00482d8,MEASURED,1,MEASURED,0,LOST_MATCH,LOST,NO_ADMISSIBLE_EDGE_OR_CAPACITY_COMPETITION
SEED_ICLR2026_0021c2cb1b9b6a71ac478ea52a93b25a,R1,ICLR2025_ad5b3f324b24c17cdc2f3712298c76bd,MEASURED,1,MEASURED,0,LOST_MATCH,LOST,NO_ADMISSIBLE_EDGE_OR_CAPACITY_COMPETITION
SEED_ICLR2026_0021c2cb1b9b6a71ac478ea52a93b25a,R2,ICLR2025_146b5b0feb14fe8e630669ad1faba25e,MEASURED,3,MEASURED,0,LOST_MATCH,LOST,NO_ADMISSIBLE_EDGE_OR_CAPACITY_COMPETITION
SEED_ICLR2026_0021c2cb1b9b6a71ac478ea52a93b25a,R2,ICLR2025_98ecdc722006c2959babbdbdeb22eb75,MEASURED,3,MEASURED,0,LOST_MATCH,LOST,NO_ADMISSIBLE_EDGE_OR_CAPACITY_COMPETITION
SEED_ICLR2026_0021c2cb1b9b6a71ac478ea52a93b25a,R2,ICLR2025_999a7fa10ed25ce8b836b14ff003ad50,MEASURED,3,MEASURED,0,LOST_MATCH,LOST,NO_ADMISSIBLE_EDGE_OR_CAPACITY_COMPETITION
SEED_ICLR2026_0021c2cb1b9b6a71ac478ea52a93b25a,R2,ICLR2025_a57483b394a3654f4317051e4ce3b2b8,MEASURED,3,MEASURED,0,LOST_MATCH,LOST,NO_ADMISSIBLE_EDGE_OR_CAPACITY_COMPETITION
SEED_ICLR2026_0021c2cb1b9b6a71ac478ea52a93b25a,R2,ICLR2025_acb3e20075b0a2dfa3565f06681578e5,MEASURED,3,MEASURED,0,LOST_MATCH,LOST,NO_ADMISSIBLE_EDGE_OR_CAPACITY_COMPETITION
SEED_ICLR2026_0021c2cb1b9b6a71ac478ea52a93b25a,R2,ICLR2025_f7ed2318cec3540ca267c3ede12d82fe,MEASURED,3,MEASURED,0,LOST_MATCH,LOST,NO_ADMISSIBLE_EDGE_OR_CAPACITY_COMPETITION
SEED_ICLR2026_0021c2cb1b9b6a71ac478ea52a93b25a,R3,,MEASURED,0,MEASURED,0,UNMATCHED_BOTH,NEITHER,NO_ADMISSIBLE_EDGE_OR_CAPACITY_COMPETITION
SEED_ICLR2026_0021c2cb1b9b6a71ac478ea52a93b25a,R4,,MEASURED,0,MEASURED,0,UNMATCHED_BOTH,NEITHER,NO_ADMISSIBLE_EDGE_OR_CAPACITY_COMPETITION
SEED_ICLR2026_00295cede6e1600d344b5cd6d9fd4640,R1,ICLR2025_1cded4f97cf5f01a284c574110b7e3b9,MEASURED,1,MEASURED,1,RETAINED_POSITIVE,GAINED,
SEED_ICLR2026_00295cede6e1600d344b5cd6d9fd4640,R1,ICLR2025_4910370ecd9afa7b31e85000748c0857,MEASURED,1,MEASURED,1,RETAINED_POSITIVE,LOST,
SEED_ICLR2026_00295cede6e1600d344b5cd6d9fd4640,R1,ICLR2025_70a06501001e1820fd1eb9ee821302d2,MEASURED,1,MEASURED,1,RETAINED_POSITIVE,LOST,
SEED_ICLR2026_00295cede6e1600d344b5cd6d9fd4640,R1,ICLR2025_cf00c2fdf92882989b1fc0e3094a2abf,MEASURED,1,MEASURED,1,RETAINED_POSITIVE,GAINED,
SEED_ICLR2026_00295cede6e1600d344b5cd6d9fd4640,R2,ICLR2025_0b8ccc9229328bdcedf54b989e7cc330,MEASURED,12,MEASURED,15,RETAINED_CHANGED_CARDINALITY,GAINED,
SEED_ICLR2026_00295cede6e1600d344b5cd6d9fd4640,R2,ICLR2025_0d70af566e69f1dfb687791ecf955e28,MEASURED,12,MEASURED,15,RETAINED_CHANGED_CARDINALITY,LOST,
SEED_ICLR2026_00295cede6e1600d344b5cd6d9fd4640,R2,ICLR2025_146b5b0feb14fe8e630669ad1faba25e,MEASURED,12,MEASURED,15,RETAINED_CHANGED_CARDINALITY,LOST,
SEED_ICLR2026_00295cede6e1600d344b5cd6d9fd4640,R2,ICLR2025_16fafdc5e8ab22780873d607ce4387a8,MEASURED,12,MEASURED,15,RETAINED_CHANGED_CARDINALITY,LOST,
SEED_ICLR2026_00295cede6e1600d344b5cd6d9fd4640,R2,ICLR2025_17c89f4c14a4aa238616c126f5af19bb,MEASURED,12,MEASURED,15,RETAINED_CHANGED_CARDINALITY,LOST,
SEED_ICLR2026_00295cede6e1600d344b5cd6d9fd4640,R2,ICLR2025_1cce374fec7829c24a97ae0e91cd0999,MEASURED,12,MEASURED,15,RETAINED_CHANGED_CARDINALITY,LOST,
SEED_ICLR2026_00295cede6e1600d344b5cd6d9fd4640,R2,ICLR2025_21718991f6acf19a42376b5c7a8668c5,MEASURED,12,MEASURED,15,RETAINED_CHANGED_CARDINALITY,GAINED,
