route_pair_id,temporal_tier,matching_regime,purity_regime,k,retrieval_backend,cell_status,eligible_unique_seeds,n_measured_blocks,unique_seed_coverage,matched_blocks,reason
R1,T0_COMMON_STRICT,STRICT,0.6,4,LEXICAL_PROVISIONAL,MISSING_COVARIATES,2772,0,,,DENSE_DATE_MODEL_TOKEN_PURITY_UNAVAILABLE
R1,T0_COMMON_STRICT,STRICT,0.6,6,LEXICAL_PROVISIONAL,MISSING_COVARIATES,2772,0,,,DENSE_DATE_MODEL_TOKEN_PURITY_UNAVAILABLE
R1,T0_COMMON_STRICT,STRICT,0.6,8,LEXICAL_PROVISIONAL,MISSING_COVARIATES,2772,0,,,DENSE_DATE_MODEL_TOKEN_PURITY_UNAVAILABLE
R1,T0_COMMON_STRICT,STRICT,0.6,12,LEXICAL_PROVISIONAL,MISSING_COVARIATES,2772,0,,,DENSE_DATE_MODEL_TOKEN_PURITY_UNAVAILABLE
R1,T0_COMMON_STRICT,STRICT,0.7,4,LEXICAL_PROVISIONAL,MISSING_COVARIATES,2772,0,,,DENSE_DATE_MODEL_TOKEN_PURITY_UNAVAILABLE
R1,T0_COMMON_STRICT,STRICT,0.7,6,LEXICAL_PROVISIONAL,MISSING_COVARIATES,2772,0,,,DENSE_DATE_MODEL_TOKEN_PURITY_UNAVAILABLE
R1,T0_COMMON_STRICT,STRICT,0.7,8,LEXICAL_PROVISIONAL,MISSING_COVARIATES,2772,0,,,DENSE_DATE_MODEL_TOKEN_PURITY_UNAVAILABLE
R1,T0_COMMON_STRICT,STRICT,0.7,12,LEXICAL_PROVISIONAL,MISSING_COVARIATES,2772,0,,,DENSE_DATE_MODEL_TOKEN_PURITY_UNAVAILABLE
R1,T0_COMMON_STRICT,STRICT,0.8,4,LEXICAL_PROVISIONAL,MISSING_COVARIATES,2772,0,,,DENSE_DATE_MODEL_TOKEN_PURITY_UNAVAILABLE
R1,T0_COMMON_STRICT,STRICT,0.8,6,LEXICAL_PROVISIONAL,MISSING_COVARIATES,2772,0,,,DENSE_DATE_MODEL_TOKEN_PURITY_UNAVAILABLE
R1,T0_COMMON_STRICT,STRICT,0.8,8,LEXICAL_PROVISIONAL,MISSING_COVARIATES,2772,0,,,DENSE_DATE_MODEL_TOKEN_PURITY_UNAVAILABLE
R1,T0_COMMON_STRICT,STRICT,0.8,12,LEXICAL_PROVISIONAL,MISSING_COVARIATES,2772,0,,,DENSE_DATE_MODEL_TOKEN_PURITY_UNAVAILABLE
R1,T0_COMMON_STRICT,BASE,0.6,4,LEXICAL_PROVISIONAL,MISSING_COVARIATES,2772,0,,,DENSE_DATE_MODEL_TOKEN_PURITY_UNAVAILABLE
R1,T0_COMMON_STRICT,BASE,0.6,6,LEXICAL_PROVISIONAL,MISSING_COVARIATES,2772,0,,,DENSE_DATE_MODEL_TOKEN_PURITY_UNAVAILABLE
R1,T0_COMMON_STRICT,BASE,0.6,8,LEXICAL_PROVISIONAL,MISSING_COVARIATES,2772,0,,,DENSE_DATE_MODEL_TOKEN_PURITY_UNAVAILABLE
R1,T0_COMMON_STRICT,BASE,0.6,12,LEXICAL_PROVISIONAL,MISSING_COVARIATES,2772,0,,,DENSE_DATE_MODEL_TOKEN_PURITY_UNAVAILABLE
R1,T0_COMMON_STRICT,BASE,0.7,4,LEXICAL_PROVISIONAL,MISSING_COVARIATES,2772,0,,,DENSE_DATE_MODEL_TOKEN_PURITY_UNAVAILABLE
R1,T0_COMMON_STRICT,BASE,0.7,6,LEXICAL_PROVISIONAL,MISSING_COVARIATES,2772,0,,,DENSE_DATE_MODEL_TOKEN_PURITY_UNAVAILABLE
R1,T0_COMMON_STRICT,BASE,0.7,8,LEXICAL_PROVISIONAL,MISSING_COVARIATES,2772,0,,,DENSE_DATE_MODEL_TOKEN_PURITY_UNAVAILABLE
R1,T0_COMMON_STRICT,BASE,0.7,12,LEXICAL_PROVISIONAL,MISSING_COVARIATES,2772,0,,,DENSE_DATE_MODEL_TOKEN_PURITY_UNAVAILABLE
R1,T0_COMMON_STRICT,BASE,0.8,4,LEXICAL_PROVISIONAL,MISSING_COVARIATES,2772,0,,,DENSE_DATE_MODEL_TOKEN_PURITY_UNAVAILABLE
R1,T0_COMMON_STRICT,BASE,0.8,6,LEXICAL_PROVISIONAL,MISSING_COVARIATES,2772,0,,,DENSE_DATE_MODEL_TOKEN_PURITY_UNAVAILABLE
R1,T0_COMMON_STRICT,BASE,0.8,8,LEXICAL_PROVISIONAL,MISSING_COVARIATES,2772,0,,,DENSE_DATE_MODEL_TOKEN_PURITY_UNAVAILABLE
R1,T0_COMMON_STRICT,BASE,0.8,12,LEXICAL_PROVISIONAL,MISSING_COVARIATES,2772,0,,,DENSE_DATE_MODEL_TOKEN_PURITY_UNAVAILABLE
R1,T0_COMMON_STRICT,RELAXED,0.6,4,LEXICAL_PROVISIONAL,MISSING_COVARIATES,2772,0,,,DENSE_DATE_MODEL_TOKEN_PURITY_UNAVAILABLE
R1,T0_COMMON_STRICT,RELAXED,0.6,6,LEXICAL_PROVISIONAL,MISSING_COVARIATES,2772,0,,,DENSE_DATE_MODEL_TOKEN_PURITY_UNAVAILABLE
R1,T0_COMMON_STRICT,RELAXED,0.6,8,LEXICAL_PROVISIONAL,MISSING_COVARIATES,2772,0,,,DENSE_DATE_MODEL_TOKEN_PURITY_UNAVAILABLE
R1,T0_COMMON_STRICT,RELAXED,0.6,12,LEXICAL_PROVISIONAL,MISSING_COVARIATES,2772,0,,,DENSE_DATE_MODEL_TOKEN_PURITY_UNAVAILABLE
R1,T0_COMMON_STRICT,RELAXED,0.7,4,LEXICAL_PROVISIONAL,MISSING_COVARIATES,2772,0,,,DENSE_DATE_MODEL_TOKEN_PURITY_UNAVAILABLE
R1,T0_COMMON_STRICT,RELAXED,0.7,6,LEXICAL_PROVISIONAL,MISSING_COVARIATES,2772,0,,,DENSE_DATE_MODEL_TOKEN_PURITY_UNAVAILABLE
R1,T0_COMMON_STRICT,RELAXED,0.7,8,LEXICAL_PROVISIONAL,MISSING_COVARIATES,2772,0,,,DENSE_DATE_MODEL_TOKEN_PURITY_UNAVAILABLE
R1,T0_COMMON_STRICT,RELAXED,0.7,12,LEXICAL_PROVISIONAL,MISSING_COVARIATES,2772,0,,,DENSE_DATE_MODEL_TOKEN_PURITY_UNAVAILABLE
R1,T0_COMMON_STRICT,RELAXED,0.8,4,LEXICAL_PROVISIONAL,MISSING_COVARIATES,2772,0,,,DENSE_DATE_MODEL_TOKEN_PURITY_UNAVAILABLE
R1,T0_COMMON_STRICT,RELAXED,0.8,6,LEXICAL_PROVISIONAL,MISSING_COVARIATES,2772,0,,,DENSE_DATE_MODEL_TOKEN_PURITY_UNAVAILABLE
R1,T0_COMMON_STRICT,RELAXED,0.8,8,LEXICAL_PROVISIONAL,MISSING_COVARIATES,2772,0,,,DENSE_DATE_MODEL_TOKEN_PURITY_UNAVAILABLE
R1,T0_COMMON_STRICT,RELAXED,0.8,12,LEXICAL_PROVISIONAL,MISSING_COVARIATES,2772,0,,,DENSE_DATE_MODEL_TOKEN_PURITY_UNAVAILABLE
R1,T1_LLAMA_CLEANER,STRICT,0.6,4,LEXICAL_PROVISIONAL,MISSING_COVARIATES,2772,0,,,DENSE_DATE_MODEL_TOKEN_PURITY_UNAVAILABLE
R1,T1_LLAMA_CLEANER,STRICT,0.6,6,LEXICAL_PROVISIONAL,MISSING_COVARIATES,2772,0,,,DENSE_DATE_MODEL_TOKEN_PURITY_UNAVAILABLE
R1,T1_LLAMA_CLEANER,STRICT,0.6,8,LEXICAL_PROVISIONAL,MISSING_COVARIATES,2772,0,,,DENSE_DATE_MODEL_TOKEN_PURITY_UNAVAILABLE
R1,T1_LLAMA_CLEANER,STRICT,0.6,12,LEXICAL_PROVISIONAL,MISSING_COVARIATES,2772,0,,,DENSE_DATE_MODEL_TOKEN_PURITY_UNAVAILABLE
R1,T1_LLAMA_CLEANER,STRICT,0.7,4,LEXICAL_PROVISIONAL,MISSING_COVARIATES,2772,0,,,DENSE_DATE_MODEL_TOKEN_PURITY_UNAVAILABLE
R1,T1_LLAMA_CLEANER,STRICT,0.7,6,LEXICAL_PROVISIONAL,MISSING_COVARIATES,2772,0,,,DENSE_DATE_MODEL_TOKEN_PURITY_UNAVAILABLE
R1,T1_LLAMA_CLEANER,STRICT,0.7,8,LEXICAL_PROVISIONAL,MISSING_COVARIATES,2772,0,,,DENSE_DATE_MODEL_TOKEN_PURITY_UNAVAILABLE
R1,T1_LLAMA_CLEANER,STRICT,0.7,12,LEXICAL_PROVISIONAL,MISSING_COVARIATES,2772,0,,,DENSE_DATE_MODEL_TOKEN_PURITY_UNAVAILABLE
R1,T1_LLAMA_CLEANER,STRICT,0.8,4,LEXICAL_PROVISIONAL,MISSING_COVARIATES,2772,0,,,DENSE_DATE_MODEL_TOKEN_PURITY_UNAVAILABLE
R1,T1_LLAMA_CLEANER,STRICT,0.8,6,LEXICAL_PROVISIONAL,MISSING_COVARIATES,2772,0,,,DENSE_DATE_MODEL_TOKEN_PURITY_UNAVAILABLE
R1,T1_LLAMA_CLEANER,STRICT,0.8,8,LEXICAL_PROVISIONAL,MISSING_COVARIATES,2772,0,,,DENSE_DATE_MODEL_TOKEN_PURITY_UNAVAILABLE
R1,T1_LLAMA_CLEANER,STRICT,0.8,12,LEXICAL_PROVISIONAL,MISSING_COVARIATES,2772,0,,,DENSE_DATE_MODEL_TOKEN_PURITY_UNAVAILABLE
