seed_id,route_pair_id,n_A,n_B,admissible_edges,max_matched_slots,median_cost_units,cell_status,bank_id,unmatched_count
SEED_ICLR2026_0021c2cb1b9b6a71ac478ea52a93b25a,R1,35,1,33,1,29131,MEASURED,4ffab2b414b47e9c8639820325581761c6863732fad543c8a11647dc2845d5ef,34
SEED_ICLR2026_0021c2cb1b9b6a71ac478ea52a93b25a,R2,35,3,102,3,115706,MEASURED,facd2cf9929be7f2b2e1ada298b9a03d64c869201a1d39c4009d2104d1171882,32
SEED_ICLR2026_0021c2cb1b9b6a71ac478ea52a93b25a,R3,35,0,0,0,,MEASURED,e6872ba0b69e3ba5c7acd54d0759935a45d4df64f87f480a071445c25577c761,35
SEED_ICLR2026_0021c2cb1b9b6a71ac478ea52a93b25a,R4,1,0,0,0,,MEASURED,85c9be9297e2e3b3c993a200aa5ca0df1de48ce5bfb679867e689a71aa85a228,1
SEED_ICLR2026_00295cede6e1600d344b5cd6d9fd4640,R1,17,1,17,1,25218,MEASURED,f8373850764828c05f830002db488b0a139ffaa0fbbebc6b2bf71db82364b320,16
SEED_ICLR2026_00295cede6e1600d344b5cd6d9fd4640,R2,17,12,179,12,144051.0,MEASURED,271c7ad2d9a888ba98e0191e6a4eabf75bd064615efd7200b093efefb9d57c61,5
SEED_ICLR2026_00295cede6e1600d344b5cd6d9fd4640,R3,17,2,34,2,59701.0,MEASURED,0c41e9936cfaf7ebbdcee5703d4f3fa923265b545fd3bd1f94b3b42972e816bd,15
SEED_ICLR2026_00295cede6e1600d344b5cd6d9fd4640,R4,1,2,2,1,217755,MEASURED,2dadb84a0daca6ec20d9bc3c264462cd3bb34430015dd450f18ae6173484060a,1
SEED_ICLR2026_002a6bef26174b590e4eab95b63feb1b,R1,42,3,122,3,70219,MEASURED,3fec1e21bb89687c7473f49953bf30ce04921d6e2f6afdef95f9f19baf5831db,39
SEED_ICLR2026_002a6bef26174b590e4eab95b63feb1b,R2,42,20,751,20,62844.5,MEASURED,9e9a7250a9f7e03140123516b285f650fff718d7f5cf873a46189a3700362ae9,22
SEED_ICLR2026_002a6bef26174b590e4eab95b63feb1b,R3,42,1,41,1,80686,MEASURED,d504d4fe4c5a4b16582e5423dfd5ea49101488ad5f831d8984d1e3b257c6b633,41
SEED_ICLR2026_002a6bef26174b590e4eab95b63feb1b,R4,3,1,3,1,206148,MEASURED,5432ff04427e718ad4c1072a69ecf5c95e67d3c546b845fda0911676667d010b,2
SEED_ICLR2026_0054c8a2c903d46496ca1f98d1322988,R1,38,6,227,6,188369.0,MEASURED,14eb91cd529ff089829380e82727451ca5e0a101a7773f14058a92a15d43be9f,32
SEED_ICLR2026_0054c8a2c903d46496ca1f98d1322988,R2,38,4,146,4,37222.0,MEASURED,55273df5099e8f7a7e82a2c675d8b0fe6c59fd72c449d4881bbadc7790e15535,34
SEED_ICLR2026_0054c8a2c903d46496ca1f98d1322988,R3,38,3,109,3,44207,MEASURED,a9051890e81142acde7f9f507df96a5a95c7992229e2644d83d6ab1f4155d853,35
SEED_ICLR2026_0054c8a2c903d46496ca1f98d1322988,R4,6,3,18,3,249992,MEASURED,abf231bcc87cffe418d4cc7aa684ca5612710bf2cfbade4dab0f71efff4f86b4,3
SEED_ICLR2026_00a0ebcad584c59dbc439c2af8793638,R1,20,3,39,3,80186,MEASURED,a7eed48df59ddc876f6fbd5fff7ed46881f51a42c0d1e57df01612951621a569,17
SEED_ICLR2026_00a0ebcad584c59dbc439c2af8793638,R2,20,10,149,10,62592.0,MEASURED,fbee67d5c674f0d762d2b2420558b948c4bdd87c1f24022d9c30ebb9e466e00b,10
SEED_ICLR2026_00a0ebcad584c59dbc439c2af8793638,R3,20,2,38,2,98330.0,MEASURED,a4ef76ca078085f19eafb178e413e35060073a1366c13657f2fa1ed5a743e7f3,18
